% of KG completeness,avg_em,avg_hits,avg_f1,avg_precision,avg_recall
1,0.6706827309236948,0.6104417670682731,0.4723922794632542,0.5503074792231418,0.4884017063697253
2,0.6586345381526104,0.5983935742971888,0.45803119318229546,0.5443270399093691,0.47235998278584895
3,0.6586345381526104,0.5983935742971888,0.46184433876407055,0.5477511258635757,0.4730934853316079
4,0.6586345381526104,0.6024096385542169,0.46076929475610684,0.547563701972642,0.4724066812074423
5,0.6586345381526104,0.6024096385542169,0.46084298400852947,0.547738313462078,0.4724533796290357
6,0.6586345381526104,0.6024096385542169,0.4605892646691052,0.5475651339716295,0.47197305300693265
7,0.6586345381526104,0.5983935742971888,0.46252824693093386,0.5491150566058896,0.47270655555269164
8,0.6626506024096386,0.6024096385542169,0.4642922818660983,0.5509118541858197,0.4762122319449068
9,0.6706827309236948,0.6024096385542169,0.46997773778727975,0.5539685253147798,0.4854846155971629
