% of KG completeness,avg_em,avg_hits,avg_f1,avg_precision,avg_recall
10,0.3453815261044177,0.2931726907630522,0.15569122670265506,0.2744629310894371,0.1572602263923492
20,0.4538152610441767,0.3855421686746988,0.23897373842558986,0.36518298301430835,0.23514480272414764
30,0.5220883534136547,0.4538152610441767,0.3103004439666435,0.42312105565117614,0.3114334265710731
40,0.5783132530120482,0.5261044176706827,0.36957960362993847,0.4697440555874291,0.3796415367835984
50,0.6586345381526104,0.5983935742971888,0.46252824693093386,0.5491150566058896,0.47270655555269164
60,0.7309236947791165,0.6666666666666666,0.5400202941048965,0.6052191072719435,0.5663636063423172
70,0.7590361445783133,0.6907630522088354,0.5870784163990254,0.6317762100894706,0.6282844410182713
80,0.7670682730923695,0.6947791164658634,0.6248396540198642,0.6481853670053751,0.6753738379543962
90,0.8072289156626506,0.7228915662650602,0.6541299746063595,0.6627373356444652,0.7372997410150598
