% of KG completeness,avg_em,avg_hits,avg_f1,avg_precision,avg_recall
10,0.3373493975903614,0.2931726907630522,0.15203214593514058,0.2666698540192516,0.15475018623170667
20,0.4538152610441767,0.3855421686746988,0.23623211226575785,0.3665729585006693,0.23230009054208609
30,0.5261044176706827,0.4457831325301205,0.3129778201379956,0.42499521897112263,0.3154494908281012
40,0.5783132530120482,0.5180722891566265,0.3696930348447862,0.4674864034248942,0.38063347304046213
50,0.6626506024096386,0.5983935742971888,0.4647791549518988,0.5502372608798312,0.47710954958863605
60,0.7269076305220884,0.6706827309236948,0.5374494578180028,0.6037967590589844,0.5624895849344119
70,0.7550200803212851,0.6907630522088354,0.5847800113512209,0.6301692814850786,0.6246553065401595
80,0.7670682730923695,0.6947791164658634,0.6249835735847512,0.6483629480779647,0.6753271395328029
90,0.8072289156626506,0.7228915662650602,0.6497782288535743,0.6648707369746537,0.7278579484101771
