% of KG completeness,avg_em,avg_hits,avg_f1,avg_precision,avg_recall
10,0.3373493975903614,0.2891566265060241,0.15185365419038377,0.2684388347038949,0.15475018623170667
20,0.4578313253012048,0.3855421686746988,0.23983249897753756,0.3670510613884108,0.23606515078304996
30,0.5220883534136547,0.4497991967871486,0.30989883754094066,0.4227863836297571,0.3114334265710731
40,0.5783132530120482,0.5180722891566265,0.36791686170357374,0.46871990887526715,0.377259103998415
50,0.6586345381526104,0.5983935742971888,0.46184433876407055,0.5477511258635757,0.4730934853316079
60,0.7269076305220884,0.6666666666666666,0.5376542228431478,0.6037050948106937,0.5627258240083548
70,0.7550200803212851,0.6907630522088354,0.5845122737340857,0.6297947675563478,0.6246553065401595
80,0.7670682730923695,0.6947791164658634,0.6248010252094317,0.6481836594950616,0.6753271395328029
90,0.8072289156626506,0.7228915662650602,0.6503300242758127,0.6621227615887583,0.7316377735932624
